,Location,Name of Property,No of Baths,No of Beds,No of Guests,No of Reviews,No of bedrooms,Price,Reviews in Text,Stars
79,Provo,Private room in cozy duplex,1,1,2,21,1,26,"['She keeps a clean house and has lots of helpful touches to make your stay easier.', 'Extremely helpful host and very nice space.', 'Very clean, very quiet. Nice private room with tv and Netflix. I would absolutely stay here again.', 'A great location and price.', 'Very affordable,clean accommodations. Great hosts.', 'Fast response, comfortable bed, convenient location, and very reasonable price. Overall a great experience.', 'Michelle’s place was a perfect place to land after a long drive through the mountains. She even moved her car when we arrived at night so we could have a peace of mind while sleeping that our truck full of stuff was secure, since our capper didn’t lock properly. Thanks Michelle!']",5
80,Orem,Quiet family neighborhood Basement Apartment,1,3,5,0,2,75,[],4.5
81,Provo,modern and cozy apartment in Provo,1,1,2,9,1,25,"['I am somewhat familiar with the logistics of arbnb, but apparently when a place is listed as a ""modern and cozy apartment"", I must be aware to read the fine print. I did not know I was going to renting a ""room"" in an apartment that the owner/host was going to be staying at as wel…Read more', 'Great workspace', 'Oswaldo was a great host. Our son needed a place to stay until his student apartment opened up. The place was furnished well and very clean. Oswaldo made him feel at home.', 'oswaldo was a very gracious host and the room was just what i needed for a wonderful weekend!', 'I had a convention at BYU and Oswaldo’s place was a great place to stay for the night. Super cheap, and super clean. I was able to check in easily by myself. Oswaldo was quick to reply to my messages too. I highly recommend staying here if you need an easy place to rest. I’m new …Read more', 'Great price for a small, clean apartment type stay for 1 or 2 people for a short stay.', 'Very clean and worm place you feel like you are at home. Oswaldo is very kind person and will do everything to feel comfortable.']",4.5
82,Orem,Comfy & Close to Campus Private Split Home!,1,1,2,13,1,32,"['There’s a mini fridge, but not a microwave or any sort of kitchen. We heard a dog barking a couple times, it didn’t bother us but it’s something to be aware of. \n\nOverall though, it was a great stay. We accidentally locked ourselves out once, and the host came to our rescue and o…Read more', 'Super clean and spacious. Would stay again! Everything was immaculate and checking in and out was painless. :)', ""Mehul's place is perfect for our needs and he was responsive in such a short notice!  Water pressure is amazing and the location is in a quiet neighborhood.  It was cleaned and uncluttered!  Perfect place for 2!"", 'Clean and spacious. Nice to have a private entrance.', 'It was a great place to stay and great hosts! Would recommend to anyone looking for a place to stay in the SLC area!', ""Very clean, well-decorated and in a nice neighborhood.  It was great to have a mid-size fridge; I'd love to see a microwave, too.  Very nice television in a living room with plenty of space.\n\n (Hidden by Airbnb) Maps directions were misleading, ID'ing the house as on the left whe…Read more"", 'Great location for everywhere we needed to be in Utah County. Quiet neighborhood and a homey feel. Definitely would stay again.']",5
83,Provo,The Cherry Pit,1,1,2,72,1,55,"['Wonderful little apartment. Great location and host.', 'Great value and great location. I agree with all the other reviews, but only problem was the creak in the floor right above the bed. When someone walked in a particular area where the board would creak (and it was very often) the sound would resonate through the sub-flooring and …Read more', ""This was my second stay at the Cherry Pit. It's been great each time. The space is clean and tidy and the check-in and check-out process has been great."", 'Perfect place to stay! Will be booking again!', 'Several things went bad on our part, and the hosts were very understanding. Such a cute basement apartment, I would recommend it!', 'Bed and bedding were amazing - private and very comfortable.', 'I enjoyed my stay. It was one of the best airbnbs I have stayed in. My only small complaint is that since it’s in the basement, I could hear the footsteps and other noises from upstairs.']",5
84,Provo,Private suite in the center of Provo. 2 of 3,1,1,2,1,1,30,"[""They're welcoming and friendly. The place was clean and they were well prepared.""]",4.5
85,Orem,Paradise,1,4,5,50,2,48,"[""Jaime and Dorothy's home was just what we needed! A mini fridge in each room, a tv, and plenty of beds! Thank you!!!"", 'Dorothy was very prompt and great to work with. Huge room and basement, very relaxing! Highly recommend', ""Great location in center of Orem, close to Smith's.  Jaime and Dorothy are super nice!"", ""My daughter and I loved staying at Jaime and Dorothy's beautiful home! We appreciated their accommodating our later-than-expected arrival.  The guest area is quiet, cozy, and private.  Everything was lovely, and the location is perfect for exploring Provo, or driving to Sundance,…Read more"", 'Perfect. We had the whole basement to ourselves, which was really convenient for our little kids.', 'We came in late and had to leave early, but Jaime greated us and made us feel comfortable. Great night of rest on our long trip.', 'Dorothy and Jamie were very nice and easy going.']",5
86,Provo,"Private, Light-Filled Apartment By BYU & Downtown!",1,4,7,29,2,58,"['This apartment is cute. It is in a good location. It was not as clean as it should have been. Floors weren’t swept and carpets were dirty. It felt like I was staying at a relatives house not a place I payed almost as much as a hotel.', 'So sorry to hear that! Since you booked it very last minute we did not have as much time to get things ready for your large group. We will keep that in mind for the future.', 'What a great basement apartment. Clean and quaint and perfect for my family of 5. Perfectly located near the temple, downtown and BYU. Great hosts.', 'Close to everything, great price and a full kitchen. Can’t beat that.', 'This was in a great location for us- right next to the downtown historic area with great food options and beautiful mountain views but also close to the interstate since we were in a long trip. Very clean.', 'Was a nice place, clean and had everything we needed. The biggest issue was have no hot water, maybe it was just a problem during our visit but we have cold/luke warm showers everyday.', 'So sorry to hear that Peter! We will definitely look into that asap. Thanks so much for your feedback.', 'Great location - we were able to walk to the main drag on Provo, which we really appreciated.  Easy parking on street. Absolutely true about how light this apartment is even though it is a basement - during the day the light is lovely. \n\nSuper easy to find and access the place an…Read more', 'This is a cute little apartment. My family of 2 assaults and 2 teens stayed for a month while buying a house. It was great! They respond quickly to any questions or problems. We would stay again if we ever needed to.']",4.5
87,Payson,Gladstan Manor Guest room 4 of 4,2,1,2,3,1,48,"[""This experience was nothing short of extraordinary. The home is GORGEOUS, the rooms are VERY comfortable and clean. The options Brett and Lynda offer for your stay experience is nothing short of awesome. As for the hosts, they're  friendly and accommodating. We loved our stay. BO…Read more"", 'Hope to see you guys again soon. ', 'Great place- better people', 'Highly recommended!']",5
88,Provo,2 Bedroom House in Provo,1.5,3,4,10,2,85,"[""Madi's place was exceptionally clean and we felt right at home. It made our trip to the Provo area that much better. Additionally, being pet friendly was a huge plus with a perfect fenced in back yard."", 'This place was perfect for our needs.  Quick overnight on the road.  Quiet neighborhood, awesome fenced back yard for the dogs,  and a friendly, responsive host.  Easy check in and lots of supplies were available.  Seemed like endless hot water for our family of four! We never ra…Read more', 'Cute and cozy. Near park and riverside trail. Great place - love the decor!', ""I used to live in Provo, and this home is in the perfect location! It's about a five minute drive to historic downtown Provo, it is next to the Provo River Trail, and the price is great. The backyard was awesome for our animals and the home space has an easy, usable flow. The bed…Read more"", 'We had a wonderful time here as we were passing through Provo! We enjoyed taking a nice long walk to Hruska’s for breakfast on Madi’s recommendation.', 'This is a great find, it is located in a quiet neighborhood, bed is comfortable, has everything you need for you stay, internet is fast so it is easy to get some work accomplished, host is quick to respond to questions. I would recommend this place if you are ever passing through…Read more', 'We had a lovely stay! Clean and charming home. Would stay here again.']",5
89,Payson,Gladstan Manor Guest room 1 of 4,1,1,2,6,1,48,"[""We really enjoyed our stay at Brett and Lynda's. They were so kind and helped us with anything we needed without hesitation. The bed was comfortable, the amenities were great, and the whole experience was wonderful. We are hoping to return sometime in Summer to check out some loc…Read more"", 'Best airbnb i have stayed at\n\n', 'Beautiful place, stunning views-  extremely friendly and helpful, gave us the tour of their beautiful home .if you like to have a peaceful stay in Elk Ridge in a mini castle with tasteful decor this is the place. We will be back Ciara and Roger ', 'Thanks for your kind words. Loving having you guys over.  Please come again.  ', ""Brett and Lynda have a beautiful home with an amazing view. It is a short distance from Provo and Orem for parents visiting their college kids or attending a wedding. They were very accommodating for us coming and going for our son's wedding. It was nice to have family all under …Read more"", 'Pauline thanks for your kind word. You and you husband were great and are welcome any time. ', 'Brett and Lynda’s place is nothing short of amazing!! You will love the spectacular views, which capture the entire Utah Valley, from Payson to the Point of the Mountain. A peaceful setting with beautiful fall colors, mountains and deer are part of the wonderful visit. Brett and …Read more', 'Thanks you two.  You are so kind.  ', 'Have to say that Brett and Lynda went above and beyond to make us feel welcome in their home. Absolutely beautiful home and amazing view from the back. I would highly recommend Brett and Lynda and their home. Nothing at all to complain about except for wanting to spend more time …Read more']",5
90,Orem,"Luxurious Queen Bed w/Kitchen, Large FR & Cookies!",1,1,2,77,1,30,"['This was our 2nd time staying with Carole. She has hosting down pat! The rooms are a great home away from home. There was space in the fridge for our BYU Creamery haul and the pillows are so fluffy!', 'We always enjoy staying in one of Caroles homes. Never a disappointment, clean, stylish, fun, wonderful value', ""We love staying at Caroles properties. This home is our favorite. She is classy. Her family we briefly met was fun. Amazing pricing for such luxuries in staying here. She is very thoughtful, wonderful good energy. My family and I can't say enough good things"", 'Thank you carol  so much for your thoughtfulness generosity and great accommodations. Lorena', ""We had a wonderful stay at Carole's house. We camped in Arches National Park and her home was a perfect in between travel stay for us. She was very helpful when I forgot the check in process, and was patient and kind when we called her up. The home is very beautiful with yummy co…Read more"", 'Carole was a great host.  The place was beautiful; cookies waiting for me in the room was a nice touch.  Very comfortable, safe, and easy to find location.', 'Lovely place, and lovely host! The neighborhood was great and the mountains were just spectacular.']",5
91,Orem,Stay 4 Spring Break!!! Cozy 2 Bdrm Apt by Costco!,1,4,6,19,2,50,"['Great!', 'This is basement don’t feel like a basement very open and windows in every room. We love the comfort and cleanest of everything. We definitely felt like home. They got everything that you need and the location is the best. You can walk to the mall, restaurant. We give 5 stars for…Read more', 'This was a nice, comfortable place, centrally located. They were flexible with our check-out time, which really helped us out. And they supplied us with some cookie dough, which was a nice touch.', 'We truly enjoyed our time here and could not have asked for a better experience!', 'This basement apartment has everything you need to make yourself at home. It’s great for families with small children because of the bunk beds. The only thing I missed was a dishwasher.', 'Nice,clean and cozy place to stay', 'This basement apartment was cute, clean, and comfortable!  Safe and convenient location—perfect for our needs. Would definitely stay here again and hope to in the near future.?']",5
92,Springville,Private guest suite in Springville,1,2,6,13,1,40,"['This was a great place for my family.', ""This spot was great value for the money: nice bedroom, a pullout couch for my night with the kids, a full-sized fridge, free streaming and a DVD player for redbox, plus washer and dryer. Springville is a nice alternative to Provo if you're in the area. Not quite as chatic as a co…Read more"", ""This place has a real clean, homey feel with privacy and easy access.  It's also a great location with friendly neighbors and a wonderful view of the mountains right outside.  We would definitely recommend."", 'It was very clean and comfortable. The host was very responsive if we had any questions.', 'A great value, comfortable place and easy communication with the host!  There is no coffee maker in the suite, but there is a great little coffee stand just down the street.  Great neighborhood and easy access to town and freeways.  Overall, a great experience and a good night’s …Read more', 'This place was awesome! The price was incredible for the amenities. The location was great. It was only a few minutes from I-15, maybe 15-20 minutes to beautiful hiking, and it took me about 45 minutes to get to Sundance. The space had everything I needed and made my trip so much…Read more', 'A perfect landing spot for a couple. The unit is impeccably clean, very comfortable, and felt just right. The location is quiet and safe, and very convenient to I-15 and shopping. Marianne was very prompt in replying to all communications. We would gladly stay here again.']",5
93,Orem,"Comfy King Bed Near UVU, BYU, & Everything",1,1,2,62,1,22,"[""This space is better than a hotel I'd say. I never met the host but she was very helpful and responded very promptly. Everything is very private and it's in the basement. It's as if it's all yours down there! They even tolerated my sisters screaming baby. I would HIGHLY reccomend…Read more"", 'Very friendly couple with an adorable cat. The location was perfect for our stay as it was close to what we wanted to visit. I would definitely stay again on my next visit to Orem Utah.', 'It was a nice place to stay.', 'Our stay was great! They were having a bonfire when we arrived and Melissa came and offered to help carry in our bags. She let us in and made sure we had everything we needed. The bed and pillows were very comfortable so we slept well. The construction was more intense than expec…Read more', 'It was great value.', 'thanks for your feedback I will be sure to make that more clear', ""Always a great time at Matt and Melissa's. I have stayed many times and plan on staying many more."", 'Comfy bed, private space, accommodating hosts. Thanks']",4.5
94,Vineyard,Cozy Queen & Twin beds near BYU & Sundance!!,1,2,3,35,1,30,"['Andrea and Kevin and their family are all great hosts. From sharing Legos to feeding our hungry son, we had a great stay. Their home is clean and beautifully decorated.', 'The room is beautiful and comfy. There were 3 of us in the room and we did not feel at all cramped. The bathroom was shared but we never had any issues with the guy we shared with. It was a beautiful stay and our hosts were awesome!', 'Always a good experience when staying here', 'As always their home is clean and very accommodating', 'A great place to stay!!! Great hosts, a comfy bed, and it was impeccably clean.', ""What a great place to stay! It was very clean, easy to find and very quiet while we were there.  In fact, if it would have been available we would've booked the room for longer.  If we ever need an Airbnb in the area again their home will be the first one I look up."", 'Cute and cozy home in the heart of vineyard. Great location and space, amazing value!']",5
95,Provo,2 Bedroom Home,1,2,4,15,2,65,"['The home was perfect for us and our weekend away in Utah!', 'Taylor was an excellent host and great communicator! Her place was clean and comfortable, and perfect for our needs. During our stay, she checked in with us to see how we were doing. I would highly recommend this air bnb and would stay here again. Thank you, Taylor!', ""I was looking for a place to stay that was close to the Utah Valley convention center that we spend several weekends a year at for dance competitions. I found Taylor's place and my only concern is that they didn't have a TV for us to watch in our downtime. I messaged him and aske…Read more"", 'Cute old brick cozy home!  Taylor was excellent at communicating and it showed how much she wants to be an outstanding host!  They even offered to come shovel the walkways as it drops lots of snow overnight!', 'Nice location.  Good communication with owners. Needed a TV, also pictures of owners needed to be taken down', 'Cute cottage, great hosts, quiet neighborhood and quick access to the freeway. All around a great experience! Thanks Taylor.', 'Cute little place. Worked great for us!']",5
96,Vineyard,Newly Built Luxury Townhouse!,1,1,2,12,1,40,"['Best Airbnb ever!! Beautiful space, Luxe bedding and linens, immaculate. The hosts were also outstanding and so welcoming and accommodating. I’m booking this space every time I’m in town from now on.', 'This is a great spot close to everything in Orem.  I highly recommend it.  Jake and Ryan are two hard working people and their place was spotless and incredibly quiet.  Parking is easy and everything in Orem is a short drive away.  Would definitely return.', ""My stay at Jake's place was wonderful. Everything was exactly as described in the listing. The home is new, bright, and immaculately clean. He provided nice touches such as restaurant recommendations and a few chocolates on the nightstand. The bed was comfortable and the house wa…Read more"", ""I stayed in Jake's spare bedroom for about three weeks straight. The room was comfortable, the internet was fast, and I had exclusive use of the bathroom. When I had questions or needed something Jake was always nice and responded quickly via text and AirBnB message. The shared s…Read more"", 'Thank you David for your Review! It was great to have you stay at my place!! I hope you had a Merry Christmas and a have a Happy New Years! ', 'My stay with Jake was perfectly uneventful.  I had a very busy social schedule that had me arriving very late most nights. Jake was always welcoming and pleasant. My room was comfortable and inviting. I enjoyed winding down with late night netflix and a super comfy bed.', 'I’m glad to hear everything was great for you!! Until next time! Thanks for staying! ', ""Jake's place was perfect! It was conveniently located from the highway en route to Moab from SLC! It was sparkling clean and I loved the decor of his home! The room was really cozy and we loved the sheets! He had a few extras that we really appreciated like a fan (to serve as whi…Read more"", ""Jake is the definition of a super host! Unfortunately during our stay Jake had a ton of work to do and wasn't on the property much, he made sure we had everything we needed, he was extremely flexibly and also very kind. The space was very well decorated and super clean which was …Read more"", 'Thank you so much! I am glad you liked the place, and would love for you, friends or family to come stay again! ']",5
97,Orem,?Lovely Modern House near Mountains!?,1,3,4,39,2,55,"[""Sarah's place is very nice, clean, and comfy. The mountain scene is amazing."", 'Excellent response time from Sarah.  Was a pleasant experience.', 'The view was great outside the house', 'This house is a great value and very clean and updated.\n\nThe owners are responsive and friendly.\n\nI will stay here again!', 'This house was cutely decorated and had everything Sarah promised. However, the oven is a little bit questionable along with the lack of smoke alarms. Other than that, we had a great stay here. Sarah is willing to help and answer all the questions you might have!', ""Sarah was an amazing host! Everything was very clean and the house is charming. I used this house for a work trip and found it very convenient - great wifi connection, comfortable bed, and easy access to the highway. I would recommend Sarah's place and stay again."", 'The house was absolutely perfect for our stay!!  The home is nice and cozy. Perfect location!!  Sarah was quick in responses with any questions I had.  I would stay here again!!']",5
98,Pleasant Grove,Comfy Modern Bsmt Apt. 1-6 guests. Near I-15.,1,3,6,11,1,27,"['Cozy place, good host, good stay', 'Thanks for coming guys. Good luck on your new traveling ventures. Your welcome back anytime. ', 'This cute basement apartment had everything a visitor needed. Dallin and Jenette even had laundry soap available! The neighborhood was quiet yet centrally located to Pleasant Grove. Very clean unit! Be reminded this is a basement so stairs are steep from entrance.', 'Thanks for staying with us Sandra. We loved having you guys. ', 'Great little place. Nicely decorated and very functional.', 'Thanks for coming Luis and Tara. Your welcome back anytime. ', ""Stayed at Dallin's place for a week-long business trip and it felt like home! Nice and cozy with all the little amenities and touches that made the stay really special. They even had popcorn and oatmeal, which really saved me on my first night when I got hungry and didn't feel li…Read more"", 'We loved having you. Your welcome back anytime. Best of luck in this business venture you guys are undertaking. I am sure you will do great. ', 'This apartment was clean and comfortable. It is in a quiet part of Pleasant Grove. Dallin and his wife were great hosts.', 'Thanks for coming to stay at our place, Lisa. I am excited for your new job and future endeavors. I am sure you will do great. ', ""Great little space. It's not big by any means but the way it's set up is brilliant. Dallin has everything you need with easy access to the freeway as well as public transportation."", 'Thanks for bring your wonderful little family to stay with us Corey. We loved having you. ', ""It's a nicy cozy place. I was in town for  a weeks with work and chose to stay here. Place had everything needed. Would definitely recommend"", 'Thanks for choosing us for your stay while you were in town. Your welcome back anytime.  ']",5
99,Orem,Super Clean Room with Two Beds,1,2,3,15,1,29,"['My daughter and I had a great stay at Steven’s place. It’s in a convenient location and was spotlessly clean, warm and comfortable. Steven even came out and cleaned snow off our car in the morning! Highly recommend.', 'Steven is an outstanding host! You will feel so welcomed in his home and safe.', 'Steven is friendly, courteous, knowledgeable of the area, and more. If you have to stay somewhere in Orem stay here.', 'We really enjoyed our stay here! Super clean and the hosts were very friendly. Would definitely stay here again!', 'Loved the access to their wonderful living area with TV and comfortable couches. Felt like,it was my place. Amazing hospitality. Loved the daily cleaned linens.', 'Very kind hosts, super clean, comfortable, and great location!', 'Highly recommended !']",5
100,Orem,Cozy Modern Condo in Quiet Central Neighborhood,1,2,4,2,2,48,"['Spencer & Natalie were very hospitable and very welcoming. The condo was like a home away from home. The bed was very comfortable and we enjoyed our stay.  We enjoyed having the place to ourselves.', ""It's a great place to stay and conveniently located!""]",4.5
101,Pleasant Grove,Pleasant Grove Home Nestled Against the Mountains!,2.5,4,8,0,3,115,[],4.5
102,Santaquin,Quiet home with desk and private bedroom.,1,1,1,6,1,20,"['Nice quiet place!', 'I’ve stayed here multiple times now. It’s a great place if you want peace and quiet. Eric is a fantastic host.', 'Very clean bedroom and bathroom. Great host!', ""The room and bed are a bit small but everything is very clean and quite. It's easy to check in and out. Great price for the value!"", 'Great house! Very clean! I would recommend to anyone!', 'The Perfect place To stay. Clean . Quiet. At low Cost. Near to restaurant and à small town.']",5
103,Provo,"Spacious studio near BYU, UVU",1,1,2,47,0,55,"['Great place to stay! Awesome hosts!', 'Great house. Spacious. Quiet. Full kitchen with pots and pans if needed. Very nice washer and dryer with a laundry room off the bathroom. Wendy was great communicating on check in and check out. Amazing value. Highly recommended. ', 'This is a great place to stay. It is comfortable, clean and quite roomy. It is centrally located to everywhere in Provo. I will definitely stay here on my next stay in Provo. ', 'This was the perfect recovery suite for my during my stay post operation. Very close proximity to the river wood doctors offices & surgical center. Stayed 6 nights today, very private hosts. Very clean environment & easily accessible parking. The only thing negative I would have …Read more', ""The place was incredibly comfortable and quite spacious. The bed was amazingly comfortable! You have to walk up four or five steps to get to the bathroom, but that wasn't a big deal for us. The water pressure was nice in the shower. Though we used the kitchen very little, it woul…Read more"", 'Wendy provided an excellent place to stay while I was in Provo for 2 months completing a clinical at Utah Valley Hospital!  The listing is as described and photographed and I felt safe and welcomed while staying here.  I ran regularly in the neighborhood either in the early morni…Read more', ""We loved our stay at Wendy's studio apartment! Wendy and her husband were very welcoming and helpful. The space is very clean and cozy. You'll have everything you need to make your stay comfortable. I would definitely recommend staying here! I also loved that there was plenty of …Read more""]",5
104,Provo,"3 Bedroom near UVU, BYU and everything else!",2.5,8,12,15,3,75,"['Alex was a great host and responded to anything we needed.  The location was exactly what we needed.  House met all our expectations.', 'This place was so roomy, and clean. A safe and friendly neighborhood. There was plenty of parking for our 2 trucks and one car. Loved having a full kitchen and the bathrooms were roomy. Definetly a place for a gathering. Well definetly be staying there again. Beds were comfortabl…Read more', 'This was a perfect place for us to stay for a few days while visiting family.  Quiet friendly neighborhood but still close to shopping and the Universities. \n\nAlso very easy to get to from the freeway.   \n\nAlex was a great host. Very responsive, and accommodating. \n\nWould definit…Read more', 'This was our first stay in a airbnb and I would recommend Alex home to anyone!!!', 'Alex’s place was perfect for our family stay for our daughter’s wedding. Alex was very responsive when we needed anything and we hardly knew anyone he was there otherwise. A great experience otherwise. We will definitely stay here again!  The house offered everything you’d need f…Read more', ""Alex's place was spacious, clean comfortable place in a great location for whatever activities you have going on in the Provo area.  The kitchen was fairly well stocked.  Spacious backyard with a nice basketball court, my kids had a great time.  We were a little uncomfortable kno…Read more"", 'I listed in the description that I live in the basement apartment. Sorry if that was unclear but I did my best to disclose it in the description. I will look into getting a quieter garage door. ', 'Alex was helpful, prompt, and accommodating. He made it easy to ask questions. Our stay was great.']",5
105,Orem,Comfy Basement Apartment,1,2,7,22,2,44,"[""Had a great stay at Kyle's place.  The place was comfortable and he was very accommodating.  Anything we needed he took care of quickly.  Excellent host."", 'Great place to stay!', ""Kyle's place is  very clean and centrally located.  The host is very thoughtful and has great communication with his guests."", 'Convenient, clean and a great value. Perfect for our stay in the Provo! Would definitely stay again.', 'Very quick and easy, central location, Kyle was very thoughtful and made it easy for my family', 'It was not home,  but I loved staying there. The washer and dryer was so convenient.  The place smelled very clean and it was roomy for me and my husband. The couple were super friendly. Never felt like was out of place.', 'Kyle is a fantastic host, very responsive to communication and any needs that come up. The apartment is very comfortable, good size kitchen space for a basement apartment, very clean and well equipped. It is our regular when we are in town to visit our kids']",5
106,Provo,The Cottage - Entire House Near Downtown Provo,2,5,8,11,3,130,"['What a quaint cottage in a wonderful location! The view is amazing and it’s less than 10 minutes to I-15 with easy acces to great local restaurants and activities.  The cottage is super clean, the kitchen is nicely appointed, and the special touches make you feel like you’ve been…Read more', 'A wonderful place to stay for our weekend in Provo! Heather is a wonderful host and The Cottage was perfect for our family while in town for a ballroom dance competition. A huge flat-screen TV with lots of kids movies was a very pleasant surprise, as was a large study area in the…Read more', 'A wonderful, spacious and comfortable accommodation very close to central Provo (less than 10 minutes to the conference center).  We felt at home from the moment we stepped in the door.  Communication was terrific and keypad checkin a breeze.  The kitchen is complete and modern a…Read more', 'The Cottage was such a warm and inviting place to stay.  We were close to everything we needed and the home provided a central meeting place for everyone in for our son’s wedding. The home has updated appliances and bathrooms,comfortable beds with ample pillows and provided all w…Read more', 'This house is amazing.  Heather is very accommodating and helpful.  I would highly recommend this beautiful, quiet house to anyone looking to stay in the Provo area.', 'Heather was a fantastic host and quick to respond to questions\nThe house is very comfortable and cute. We will definitely stay there again and tell others about it also', 'Great house. Everthing we needed. Super cute decor. Will definitely stay again. Heather is an incredible hostess.']",5
107,Provo,Family Friendly Condo,1.5,4,6,0,3,55,[],4.5
108,Lindon,NEW Charming Carriage House,1,1,4,10,1,60,"['If you are able to stay here do it! It is a wonderful place to relax and stay overnight. \nBut if you lived within a 2 blocks of the Carriage house. I would strongly encourage you to make it your staycation destination.', 'This place is great!  Even better than the photos.  We felt right at home and enjoyed our stay.', 'Martha Stewart style home. Very beautiful, spacious and clean.', 'What can I say but WOW! What a beautiful home!! A++++ would recommend 100 times plus!!', 'Kalei was very accommodating, and the space is amazing! Be sure to use the Apple Maps for easy directions!', 'This carriage house is over the top. It is beautiful, spacious, quiet, and immaculate! You will NOT be sorry you chose to stay here!', 'Brand new, clean, beautiful place to stay! Felt like we were at home!  Very welcoming hosts with excellent taste! Centrally located tucked into a cute neighborhood']",5
109,Vineyard,"Brand New Apartment, close to UVU and BYU!!",2,4,8,4,3,104,"['Great apartment- great location. We will definitely be back.', 'This place is gorgeous and super clean!  We loved our visit in Utah all the more thanks to having such a comfortable place!', 'Evelyn’s place is great and she is very responsive. Highly recommend.', 'We had a great stay at Evelyn’s apartment.  The location was quiet safe and yet close enough to access all of the places we needed to go including local UVU and BYU. The kids made great use of the playground and basketball court.  The apartment was brand new, sparkling clean, bea…Read more']",5
110,Provo,The Franklin House historical restored 3 bdrm!,1,4,6,23,3,99,"[""Our stay at Robin's house was wonderful! Such a cute older home in a very convenient area. Robin was always quick to respond and very helpful!"", 'The Franklin House is beautiful and comfortable. Great hosts!', ""Robin's house worked very well for us; clean, convenient and just right for what we needed."", 'This is a great house, great location.  We had such a wonderful time in autumn visiting and seeing the leaves change with the mountains.', 'We had the best time staying at your cute house.  We had a wedding to attend and lots of family events in the area and it was a perfect location for us to come and go.  It felt like a home away from home.  Thank you!', 'Quaint, exceptionally clean, great amenities and wonderfully comfortable. This house is conveniently located in Provo, quiet, charming, and well-appointed with all you need for a small family or business trip. We had four (4) people, all adults, and even with only one bathroom st…Read more', ""This place was perfect for our family of five. It's easy access on and off the freeway. The house is nicely decorated and comfortable. It has all that you'd expect at home (wifi, sat tv, nice appliances, etc.). Robin made checking in and out super easy and she was great at commun…Read more""]",5
111,Orem,Comfortable apartment in the heart of Orem,1,1,4,6,2,50,"['Janessa is amazing and so thoughtful! I would definitely stay here again!', 'I highly would recommend this cozy little two bedroom home in downtown Orem Utah. ?\nThe price is right and even very low at 50.00. ?\nVery clean, comfortable and I loved the surroundings. ?\nI would like to thank Janessa for being a gracious host.  She aims to please her guests.', ""Janessa's place is very peaceful, warm and clean. It smells very fresh. It was very relaxing that made my guests and I feel very much at ease. The only small issue was that with the 3 of us there only 1 of us was able to take a hot shower because the hot water went out since we a…Read more"", 'Fantastic location. Very clean and comfortable. Quick to respond. Extremely kind hosts.', 'Lovely home', 'Janessa was a nice friendly host and easy to work with.']",4.5
112,Provo,Cowboy suite (2 beds) on mountain near BYU.,2,2,4,53,1,47,"['We loved staying in the cowboy room! So many fun little details. Decor was fun, there were water bottles and Andes mints  waiting for us when we arrived. Host gave us a tour and showed us all features of the room. He even has shampoo conditioner and soap dispensers in the tub. Lo…Read more', ""I can't begin to describe how great the cowboy room is. The view is simply amazing and the room is so spacious and well put together. We felt at home and appreciated Vince's outstanding hospitality and friendliness. The room is very private; Vince really respects privacy wishes a…Read more"", 'Great place to stay, beautiful evening views, close to BYU campus', 'Vince is a very great host and very easy to communicate with. He is very flexible and takes care of everything you need even before you realize it. The place is really great and has a very good view and I don’t think I can get a better place for the same price.', 'Spaceous, clean, with great view of Provo.  Perfect for a couple.', 'Overall great stay. Up a big hill which isn’t a problem until it’s the end of a long day and you’re too tired to walk up it. Spectacular view, great amenities, fully stocked kitchen, super helpful host, nothing really to complain about. Only issue I had was that there was no show…Read more', ""The cowboy room in Vince's home was a great value for the price and location. There were two Queen/Full-size (by my estimate) beds that could easily have  accommodated four people. Additionally there is a couch that could seat around 4 people and a huge TV that comes with Apple T…Read more""]",5
113,Orem,Orem City—Central Location. Private Bathroom,1,2,3,8,1,43,"['Clean and private. I would stay here again.', 'Totally worked for us. Very close to where we needed to be. It was a well run Airbnb. They got back to us quickly. A little bit noisy ~ street noise & other guests but wouldn’t stop me from staying there again.', 'We relocated to Orem and stayed here for a 10 days while waiting for the moving van to arrive.  Convenient location and clean, comfortable home.  We were in room #1, which fronts on a busy, noisy street -- but the room was spacious, clean and met our needs.  The kitchen was very …Read more', ""This place was amazing! So clean, so comfortable. Friendly hosts and everything we could possibly need to make our stay enjoyable. I'd definitely stay here again when in the neighborhood. Our room was spacious, and we had full use of the rest of the house, including the kitchen, …Read more"", 'The atmosphere is cozy and comfortable,  the view is gorgeous, and the host are extremely accommodating and wonderful to conversate with.', 'Ronnie is the amazing host and place is amazing with affordable rates. I wish I had more than 5 stars to rate this place and host gets all stars...', 'Great place to stay. Great host. Stay here if you get the chance. Need I say more ?']",4.5
114,Provo,Cozy 70’s Condo near BYU and Sundance Ski Resort,2,10,10,2,3,117,"['The host canceled this reservation 4 days before arrival. This is an automated posting.', 'Great place for the price. Nice condo, well kept and recently updated.  Good layout for sleeping a bunch of people in the bedrooms upstairs, while having a good kitchen/family room area for hanging out.  We were there over Christmas and there was even a Christmas tree setup!!  To…Read more', 'Thank YOU! Glad they enjoyed their stay?']",4.5
